"Time","http_req_s","http_req_s_errors","http_req_s_success"
2025-09-18 02:11:00,97.1 req/s,3.94 req/s,93.1 req/s
2025-09-18 02:12:00,91.7 req/s,0.0514 req/s,91.7 req/s
2025-09-18 02:13:00,134 req/s,,134 req/s
2025-09-18 02:14:00,180 req/s,2.52 req/s,178 req/s
2025-09-18 02:15:00,131 req/s,25.6 req/s,106 req/s
2025-09-18 02:16:00,182 req/s,42.0 req/s,140 req/s
2025-09-18 02:17:00,152 req/s,16.4 req/s,136 req/s
2025-09-18 02:18:00,73.3 req/s,10.7 req/s,62.6 req/s
2025-09-18 02:19:00,44.3 req/s,1.58 req/s,42.7 req/s
2025-09-18 02:20:00,138 req/s,,138 req/s
2025-09-18 02:21:00,81.0 req/s,,81.0 req/s
2025-09-18 02:22:00,59.4 req/s,,59.4 req/s
2025-09-18 02:23:00,82.3 req/s,,82.3 req/s
2025-09-18 02:24:00,60.2 req/s,,60.2 req/s
2025-09-18 02:25:00,67.4 req/s,,67.4 req/s
2025-09-18 02:26:00,73.4 req/s,,73.4 req/s
2025-09-18 02:27:00,80.9 req/s,,80.9 req/s
2025-09-18 02:28:00,81.5 req/s,,81.5 req/s
2025-09-18 02:29:00,72.4 req/s,,72.4 req/s
2025-09-18 02:30:00,93.4 req/s,,93.4 req/s
2025-09-18 02:31:00,63.3 req/s,,63.3 req/s
2025-09-18 02:32:00,92.5 req/s,,92.5 req/s
2025-09-18 02:33:00,73.9 req/s,,73.9 req/s
2025-09-18 02:34:00,85.7 req/s,,85.7 req/s
2025-09-18 02:35:00,75.4 req/s,,75.4 req/s
2025-09-18 02:36:00,76.7 req/s,,76.7 req/s
2025-09-18 02:37:00,70.9 req/s,,70.9 req/s
2025-09-18 02:38:00,95.6 req/s,,95.6 req/s
2025-09-18 02:39:00,80.0 req/s,,80.0 req/s
2025-09-18 02:40:00,58.5 req/s,,58.5 req/s
2025-09-18 02:41:00,98.5 req/s,,98.5 req/s
2025-09-18 02:42:00,89.4 req/s,,89.4 req/s
2025-09-18 02:43:00,142 req/s,32.1 req/s,110 req/s
2025-09-18 02:44:00,69.8 req/s,20.5 req/s,49.3 req/s
2025-09-18 02:45:00,69.4 req/s,15.3 req/s,54.2 req/s
2025-09-18 02:46:00,59.0 req/s,16.2 req/s,42.7 req/s
2025-09-18 02:47:00,54.0 req/s,12.8 req/s,41.3 req/s
2025-09-18 02:48:00,56.4 req/s,12.8 req/s,43.6 req/s
2025-09-18 02:49:00,47.8 req/s,9.34 req/s,38.4 req/s
2025-09-18 02:50:00,61.8 req/s,11.6 req/s,50.2 req/s
2025-09-18 02:51:00,57.4 req/s,10.4 req/s,47.0 req/s
2025-09-18 02:52:00,75.6 req/s,15.2 req/s,60.4 req/s
2025-09-18 02:53:00,76.2 req/s,13.1 req/s,63.1 req/s
2025-09-18 02:54:00,79.0 req/s,20.3 req/s,58.7 req/s
2025-09-18 02:55:00,49.0 req/s,15.3 req/s,33.6 req/s
2025-09-18 02:56:00,56.6 req/s,9.64 req/s,46.9 req/s
2025-09-18 02:57:00,55.7 req/s,10.1 req/s,45.6 req/s
2025-09-18 02:58:00,58.4 req/s,13.9 req/s,44.5 req/s
2025-09-18 02:59:00,65.7 req/s,13.3 req/s,52.4 req/s
2025-09-18 03:00:00,55.9 req/s,11.1 req/s,44.8 req/s
2025-09-18 03:01:00,59.5 req/s,10.6 req/s,48.9 req/s
2025-09-18 03:02:00,59.4 req/s,13.4 req/s,45.9 req/s
2025-09-18 03:03:00,67.0 req/s,13.0 req/s,54.0 req/s
2025-09-18 03:04:00,70.9 req/s,13.8 req/s,57.1 req/s
2025-09-18 03:05:00,62.9 req/s,9.88 req/s,53.0 req/s
2025-09-18 03:06:00,62.0 req/s,13.1 req/s,48.8 req/s
2025-09-18 03:07:00,58.3 req/s,11.0 req/s,47.4 req/s
2025-09-18 03:08:00,63.4 req/s,10.9 req/s,52.6 req/s
2025-09-18 03:09:00,64.7 req/s,12.7 req/s,51.9 req/s
2025-09-18 03:10:00,56.2 req/s,10.6 req/s,45.6 req/s
2025-09-18 03:11:00,67.5 req/s,11.4 req/s,56.1 req/s
2025-09-18 03:12:00,61.8 req/s,8.78 req/s,53.0 req/s
2025-09-18 03:13:00,60.9 req/s,10.0 req/s,50.9 req/s
2025-09-18 03:14:00,63.2 req/s,8.31 req/s,54.9 req/s
2025-09-18 03:15:00,88.4 req/s,17.8 req/s,70.6 req/s
2025-09-18 03:16:00,63.2 req/s,12.9 req/s,50.3 req/s
2025-09-18 03:17:00,63.2 req/s,11.2 req/s,52.0 req/s
2025-09-18 03:18:00,48.7 req/s,8.46 req/s,40.2 req/s
2025-09-18 03:19:00,72.0 req/s,25.6 req/s,46.4 req/s
2025-09-18 03:20:00,85.8 req/s,57.2 req/s,28.6 req/s
2025-09-18 03:25:00,79.0 req/s,22.1 req/s,56.9 req/s
2025-09-18 03:26:00,104 req/s,26.8 req/s,76.8 req/s
2025-09-18 03:27:00,50.0 req/s,19.2 req/s,30.8 req/s
2025-09-18 03:28:00,77.1 req/s,52.5 req/s,24.6 req/s
2025-09-18 03:29:00,47.4 req/s,30.1 req/s,17.3 req/s
2025-09-18 03:30:00,47.7 req/s,18.3 req/s,29.4 req/s
2025-09-18 03:31:00,53.7 req/s,21.2 req/s,32.4 req/s
2025-09-18 03:32:00,70.7 req/s,25.7 req/s,45.0 req/s
2025-09-18 03:33:00,72.7 req/s,35.2 req/s,37.5 req/s
2025-09-18 03:34:00,46.1 req/s,17.0 req/s,29.1 req/s
2025-09-18 03:35:00,50.6 req/s,24.7 req/s,25.9 req/s
2025-09-18 03:36:00,40.2 req/s,16.2 req/s,24.0 req/s
2025-09-18 03:37:00,45.1 req/s,22.7 req/s,22.3 req/s
2025-09-18 03:38:00,46.1 req/s,23.0 req/s,23.1 req/s
2025-09-18 03:39:00,59.7 req/s,36.1 req/s,23.6 req/s
2025-09-18 03:40:00,55.2 req/s,37.6 req/s,17.7 req/s
2025-09-18 03:41:00,57.3 req/s,27.1 req/s,30.2 req/s
2025-09-18 03:42:00,44.7 req/s,15.3 req/s,29.4 req/s
2025-09-18 03:43:00,54.7 req/s,18.8 req/s,36.0 req/s
2025-09-18 03:44:00,52.4 req/s,11.7 req/s,40.7 req/s
2025-09-18 03:45:00,64.7 req/s,27.9 req/s,36.7 req/s
2025-09-18 03:46:00,49.7 req/s,17.7 req/s,32.0 req/s
2025-09-18 03:47:00,89.0 req/s,48.6 req/s,40.4 req/s
2025-09-18 03:48:00,53.4 req/s,8.62 req/s,44.8 req/s
2025-09-18 03:49:00,55.4 req/s,25.1 req/s,30.3 req/s
2025-09-18 03:50:00,47.1 req/s,17.3 req/s,29.8 req/s
2025-09-18 03:51:00,71.0 req/s,40.3 req/s,30.7 req/s
2025-09-18 03:52:00,75.1 req/s,49.6 req/s,25.4 req/s
2025-09-18 03:53:00,39.7 req/s,13.0 req/s,26.7 req/s
2025-09-18 03:54:00,63.4 req/s,36.9 req/s,26.6 req/s
2025-09-18 03:55:00,59.7 req/s,25.4 req/s,34.3 req/s
2025-09-18 03:56:00,115 req/s,86.2 req/s,28.8 req/s
2025-09-18 03:57:00,89.0 req/s,46.0 req/s,43.0 req/s
2025-09-18 03:58:00,44.0 req/s,28.3 req/s,15.7 req/s
2025-09-18 03:59:00,171 req/s,112 req/s,58.8 req/s
2025-09-18 04:00:00,51.4 req/s,23.7 req/s,27.7 req/s
2025-09-18 04:01:00,81.8 req/s,49.8 req/s,32.0 req/s
2025-09-18 04:02:00,55.0 req/s,34.3 req/s,20.7 req/s
2025-09-18 04:03:00,153 req/s,138 req/s,14.7 req/s
2025-09-18 04:04:00,54.1 req/s,35.8 req/s,18.2 req/s
2025-09-18 04:05:00,110 req/s,87.2 req/s,23.1 req/s
2025-09-18 04:06:00,103 req/s,86.0 req/s,16.9 req/s
2025-09-18 04:07:00,125 req/s,109 req/s,15.6 req/s
2025-09-18 04:08:00,104 req/s,85.1 req/s,18.7 req/s
2025-09-18 04:09:00,154 req/s,138 req/s,16.5 req/s
2025-09-18 04:10:00,121 req/s,102 req/s,19.0 req/s
2025-09-18 04:11:00,104 req/s,91.2 req/s,13.2 req/s
2025-09-18 04:12:00,110 req/s,95.3 req/s,14.5 req/s
2025-09-18 04:13:00,131 req/s,112 req/s,18.8 req/s
2025-09-18 04:14:00,34.7 req/s,21.6 req/s,13.1 req/s
2025-09-18 04:15:00,36.3 req/s,22.4 req/s,13.9 req/s
2025-09-18 04:16:00,91.7 req/s,67.2 req/s,24.5 req/s
2025-09-18 04:17:00,69.7 req/s,53.0 req/s,16.7 req/s
2025-09-18 04:18:00,89.8 req/s,53.4 req/s,36.4 req/s
2025-09-18 04:19:00,139 req/s,78.7 req/s,60.8 req/s
2025-09-18 04:20:00,196 req/s,121 req/s,75.3 req/s
2025-09-18 04:21:00,108 req/s,96.7 req/s,10.9 req/s
2025-09-18 04:22:00,177 req/s,95.8 req/s,81.6 req/s
2025-09-18 04:23:00,129 req/s,109 req/s,20.6 req/s
2025-09-18 04:24:00,50.5 req/s,36.5 req/s,14.0 req/s
2025-09-18 04:25:00,94.4 req/s,82.4 req/s,12.0 req/s
2025-09-18 04:26:00,83.3 req/s,36.5 req/s,46.8 req/s
2025-09-18 04:27:00,56.3 req/s,28.8 req/s,27.5 req/s
2025-09-18 04:28:00,72.1 req/s,44.1 req/s,28.0 req/s
2025-09-18 04:29:00,61.7 req/s,32.6 req/s,29.1 req/s
2025-09-18 04:30:00,47.8 req/s,20.8 req/s,27.1 req/s
2025-09-18 04:31:00,94.6 req/s,66.5 req/s,28.1 req/s
2025-09-18 04:32:00,49.5 req/s,23.9 req/s,25.6 req/s
2025-09-18 04:33:00,57.7 req/s,15.0 req/s,42.6 req/s
2025-09-18 04:34:00,88.7 req/s,48.0 req/s,40.8 req/s
2025-09-18 04:35:00,57.0 req/s,20.7 req/s,36.2 req/s
2025-09-18 04:36:00,52.6 req/s,17.6 req/s,35.1 req/s
2025-09-18 04:37:00,71.4 req/s,27.0 req/s,44.4 req/s
2025-09-18 04:38:00,70.5 req/s,33.7 req/s,36.9 req/s
2025-09-18 04:39:00,47.0 req/s,11.3 req/s,35.7 req/s
2025-09-18 04:40:00,78.7 req/s,43.8 req/s,35.0 req/s
2025-09-18 04:41:00,53.1 req/s,21.5 req/s,31.6 req/s
2025-09-18 04:42:00,68.1 req/s,36.4 req/s,31.7 req/s
2025-09-18 04:43:00,53.3 req/s,34.6 req/s,18.7 req/s
2025-09-18 04:44:00,86.3 req/s,66.1 req/s,20.2 req/s
2025-09-18 04:45:00,57.8 req/s,53.3 req/s,4.48 req/s
2025-09-18 04:46:00,72.3 req/s,59.8 req/s,12.4 req/s
2025-09-18 04:47:00,34.8 req/s,29.8 req/s,5.00 req/s
2025-09-18 04:48:00,52.1 req/s,45.1 req/s,7.02 req/s
2025-09-18 04:49:00,14.8 req/s,9.38 req/s,5.40 req/s
2025-09-18 04:50:00,56.3 req/s,45.6 req/s,10.8 req/s
2025-09-18 04:51:00,101 req/s,95.0 req/s,5.83 req/s
2025-09-18 04:52:00,81.4 req/s,75.7 req/s,5.74 req/s
2025-09-18 04:53:00,75.8 req/s,68.5 req/s,7.30 req/s
2025-09-18 04:54:00,56.7 req/s,47.4 req/s,9.29 req/s
2025-09-18 04:55:00,75.8 req/s,69.8 req/s,5.92 req/s
2025-09-18 04:56:00,45.1 req/s,32.2 req/s,12.9 req/s
2025-09-18 04:57:00,44.2 req/s,38.1 req/s,6.10 req/s
2025-09-18 04:58:00,26.3 req/s,22.9 req/s,3.41 req/s
2025-09-18 04:59:00,53.2 req/s,43.0 req/s,10.1 req/s
2025-09-18 05:00:00,67.1 req/s,62.0 req/s,5.16 req/s
2025-09-18 05:01:00,70.5 req/s,65.5 req/s,5.03 req/s
2025-09-18 05:02:00,71.4 req/s,63.9 req/s,7.56 req/s
2025-09-18 05:03:00,50.0 req/s,44.2 req/s,5.76 req/s
2025-09-18 05:04:00,53.7 req/s,44.6 req/s,9.10 req/s
2025-09-18 05:05:00,70.0 req/s,62.7 req/s,7.27 req/s
2025-09-18 05:06:00,104 req/s,101 req/s,3.44 req/s
2025-09-18 05:07:00,69.1 req/s,64.1 req/s,5.02 req/s
2025-09-18 05:08:00,91.4 req/s,83.1 req/s,8.23 req/s
2025-09-18 05:09:00,75.0 req/s,69.2 req/s,5.83 req/s
2025-09-18 05:10:00,50.2 req/s,43.2 req/s,7.00 req/s
2025-09-18 05:11:00,53.7 req/s,47.7 req/s,6.01 req/s
2025-09-18 05:12:00,43.7 req/s,31.2 req/s,12.5 req/s
2025-09-18 05:13:00,49.3 req/s,45.1 req/s,4.20 req/s
2025-09-18 05:14:00,65.2 req/s,60.6 req/s,4.56 req/s
2025-09-18 05:15:00,40.4 req/s,33.4 req/s,6.92 req/s
2025-09-18 05:16:00,81.9 req/s,72.7 req/s,9.30 req/s
2025-09-18 05:17:00,73.1 req/s,67.5 req/s,5.58 req/s
2025-09-18 05:18:00,83.6 req/s,81.8 req/s,1.73 req/s
2025-09-18 05:19:00,36.9 req/s,26.8 req/s,10.0 req/s
2025-09-18 05:20:00,60.9 req/s,56.0 req/s,4.89 req/s
2025-09-18 05:21:00,48.3 req/s,42.9 req/s,5.47 req/s
2025-09-18 05:22:00,61.6 req/s,54.2 req/s,7.40 req/s
2025-09-18 05:23:00,94.7 req/s,87.5 req/s,7.19 req/s
2025-09-18 05:24:00,57.2 req/s,52.2 req/s,4.92 req/s
2025-09-18 05:25:00,26.4 req/s,19.2 req/s,7.20 req/s
2025-09-18 05:26:00,69.6 req/s,63.1 req/s,6.53 req/s
2025-09-18 05:31:00,38.4 req/s,27.0 req/s,11.4 req/s
2025-09-18 05:32:00,42.8 req/s,35.5 req/s,7.29 req/s
2025-09-18 05:33:00,50.4 req/s,44.3 req/s,6.14 req/s
2025-09-18 05:34:00,39.5 req/s,32.3 req/s,7.21 req/s
2025-09-18 05:35:00,85.1 req/s,81.1 req/s,3.98 req/s
2025-09-18 05:36:00,27.9 req/s,20.6 req/s,7.30 req/s
2025-09-18 05:37:00,57.5 req/s,51.4 req/s,6.14 req/s
2025-09-18 05:38:00,76.3 req/s,71.3 req/s,5.09 req/s
2025-09-18 05:39:00,44.0 req/s,36.6 req/s,7.46 req/s
2025-09-18 05:40:00,37.3 req/s,31.9 req/s,5.43 req/s
2025-09-18 05:41:00,62.0 req/s,56.4 req/s,5.58 req/s
2025-09-18 05:42:00,69.3 req/s,61.1 req/s,8.22 req/s
2025-09-18 05:43:00,64.7 req/s,59.4 req/s,5.39 req/s
2025-09-18 05:44:00,41.2 req/s,36.5 req/s,4.68 req/s
2025-09-18 05:45:00,66.3 req/s,61.2 req/s,5.17 req/s
2025-09-18 05:46:00,67.3 req/s,60.9 req/s,6.33 req/s
2025-09-18 05:47:00,43.7 req/s,35.1 req/s,8.66 req/s
2025-09-18 05:48:00,40.9 req/s,35.7 req/s,5.22 req/s
2025-09-18 05:49:00,53.7 req/s,49.9 req/s,3.75 req/s
2025-09-18 05:50:00,80.2 req/s,74.3 req/s,5.93 req/s
2025-09-18 05:51:00,28.6 req/s,23.7 req/s,4.88 req/s
2025-09-18 05:52:00,41.6 req/s,36.1 req/s,5.55 req/s
2025-09-18 05:53:00,43.6 req/s,26.4 req/s,17.2 req/s
2025-09-18 05:54:00,37.0 req/s,28.1 req/s,8.89 req/s
2025-09-18 05:55:00,65.9 req/s,60.3 req/s,5.64 req/s
2025-09-18 05:56:00,43.5 req/s,38.8 req/s,4.66 req/s
2025-09-18 05:57:00,43.9 req/s,38.1 req/s,5.75 req/s
2025-09-18 05:58:00,41.0 req/s,32.4 req/s,8.64 req/s
2025-09-18 05:59:00,27.9 req/s,20.0 req/s,7.92 req/s
2025-09-18 06:00:00,27.5 req/s,23.7 req/s,3.84 req/s
2025-09-18 06:01:00,51.7 req/s,45.1 req/s,6.58 req/s
2025-09-18 06:02:00,115 req/s,110 req/s,4.54 req/s
2025-09-18 06:03:00,24.9 req/s,24.0 req/s,0.877 req/s
2025-09-18 06:04:00,88.1 req/s,86.5 req/s,1.64 req/s
2025-09-18 06:05:00,73.7 req/s,73.0 req/s,0.660 req/s
2025-09-18 06:06:00,17.9 req/s,16.8 req/s,1.02 req/s
2025-09-18 06:07:00,42.4 req/s,40.8 req/s,1.59 req/s
2025-09-18 06:08:00,140 req/s,140 req/s,0.377 req/s
2025-09-18 06:09:00,19.3 req/s,17.3 req/s,1.96 req/s
2025-09-18 06:10:00,70.1 req/s,68.8 req/s,1.26 req/s
2025-09-18 06:11:00,151 req/s,150 req/s,0.729 req/s
2025-09-18 06:12:00,58.7 req/s,57.9 req/s,0.753 req/s
2025-09-18 06:13:00,40.3 req/s,38.8 req/s,1.48 req/s
2025-09-18 06:14:00,118 req/s,117 req/s,0.921 req/s
2025-09-18 06:15:00,42.5 req/s,41.6 req/s,0.871 req/s
2025-09-18 06:16:00,136 req/s,134 req/s,1.93 req/s
2025-09-18 06:17:00,86.0 req/s,83.0 req/s,2.97 req/s
2025-09-18 06:18:00,55.6 req/s,53.5 req/s,2.17 req/s
2025-09-18 06:19:00,276 req/s,275 req/s,1.68 req/s
2025-09-18 06:20:00,124 req/s,122 req/s,2.77 req/s
2025-09-18 06:21:00,51.8 req/s,49.3 req/s,2.50 req/s
2025-09-18 06:22:00,28.9 req/s,27.9 req/s,0.975 req/s
2025-09-18 06:23:00,138 req/s,137 req/s,1.07 req/s
2025-09-18 06:24:00,74.0 req/s,72.6 req/s,1.48 req/s
2025-09-18 06:25:00,63.6 req/s,58.2 req/s,5.36 req/s
2025-09-18 06:26:00,184 req/s,183 req/s,1.55 req/s
2025-09-18 06:27:00,80.1 req/s,79.1 req/s,0.998 req/s
2025-09-18 06:28:00,53.1 req/s,49.1 req/s,3.96 req/s
2025-09-18 06:29:00,68.2 req/s,66.7 req/s,1.49 req/s
2025-09-18 06:30:00,193 req/s,192 req/s,1.26 req/s
2025-09-18 06:31:00,62.7 req/s,54.7 req/s,7.98 req/s
2025-09-18 06:32:00,78.9 req/s,73.8 req/s,5.12 req/s
2025-09-18 06:33:00,65.8 req/s,60.1 req/s,5.72 req/s
2025-09-18 06:34:00,85.0 req/s,81.4 req/s,3.67 req/s
2025-09-18 06:35:00,62.3 req/s,56.5 req/s,5.76 req/s
2025-09-18 06:36:00,39.1 req/s,33.3 req/s,5.77 req/s
2025-09-18 06:37:00,49.4 req/s,43.4 req/s,5.94 req/s
2025-09-18 06:38:00,26.5 req/s,15.9 req/s,10.6 req/s
2025-09-18 06:39:00,74.2 req/s,66.4 req/s,7.89 req/s
2025-09-18 06:40:00,61.7 req/s,56.7 req/s,5.03 req/s
2025-09-18 06:41:00,43.7 req/s,34.5 req/s,9.21 req/s
2025-09-18 06:42:00,69.1 req/s,64.9 req/s,4.21 req/s
2025-09-18 06:43:00,29.9 req/s,25.3 req/s,4.57 req/s
2025-09-18 06:44:00,49.9 req/s,42.0 req/s,7.88 req/s
2025-09-18 06:45:00,30.4 req/s,16.5 req/s,13.9 req/s
2025-09-18 06:46:00,60.8 req/s,54.8 req/s,5.96 req/s
2025-09-18 06:47:00,60.8 req/s,54.7 req/s,6.03 req/s
2025-09-18 06:48:00,78.4 req/s,72.7 req/s,5.73 req/s
2025-09-18 06:49:00,47.1 req/s,39.6 req/s,7.48 req/s
2025-09-18 06:50:00,78.3 req/s,71.5 req/s,6.82 req/s
2025-09-18 06:51:00,75.4 req/s,69.8 req/s,5.55 req/s
2025-09-18 06:52:00,13.9 req/s,9.99 req/s,3.95 req/s
2025-09-18 06:53:00,42.9 req/s,38.7 req/s,4.25 req/s
2025-09-18 06:54:00,49.7 req/s,42.2 req/s,7.55 req/s
2025-09-18 06:55:00,77.7 req/s,70.5 req/s,7.22 req/s
2025-09-18 06:56:00,51.4 req/s,43.1 req/s,8.26 req/s
2025-09-18 06:57:00,59.1 req/s,51.1 req/s,7.95 req/s
2025-09-18 06:58:00,42.1 req/s,36.6 req/s,5.43 req/s
2025-09-18 06:59:00,44.8 req/s,38.5 req/s,6.26 req/s
2025-09-18 07:00:00,34.8 req/s,26.3 req/s,8.57 req/s
2025-09-18 07:01:00,58.0 req/s,52.2 req/s,5.78 req/s
2025-09-18 07:02:00,88.3 req/s,84.3 req/s,3.94 req/s
2025-09-18 07:03:00,19.3 req/s,16.6 req/s,2.74 req/s
2025-09-18 07:04:00,51.5 req/s,46.2 req/s,5.31 req/s
2025-09-18 07:05:00,151 req/s,147 req/s,4.62 req/s
2025-09-18 07:06:00,50.7 req/s,44.7 req/s,6.04 req/s
2025-09-18 07:07:00,35.8 req/s,32.2 req/s,3.64 req/s
2025-09-18 07:08:00,57.7 req/s,51.4 req/s,6.33 req/s
2025-09-18 07:09:00,64.4 req/s,59.2 req/s,5.23 req/s
2025-09-18 07:10:00,36.6 req/s,30.1 req/s,6.48 req/s
2025-09-18 07:11:00,48.0 req/s,42.5 req/s,5.46 req/s
2025-09-18 07:12:00,47.3 req/s,38.6 req/s,8.73 req/s
2025-09-18 07:13:00,82.0 req/s,75.4 req/s,6.58 req/s
2025-09-18 07:14:00,61.4 req/s,51.0 req/s,10.4 req/s
2025-09-18 07:15:00,30.5 req/s,24.9 req/s,5.57 req/s
2025-09-18 07:16:00,92.8 req/s,88.6 req/s,4.24 req/s
2025-09-18 07:17:00,23.9 req/s,15.4 req/s,8.55 req/s
2025-09-18 07:18:00,51.0 req/s,49.0 req/s,1.99 req/s
2025-09-18 07:19:00,41.5 req/s,35.9 req/s,5.59 req/s
2025-09-18 07:20:00,53.6 req/s,47.8 req/s,5.80 req/s
2025-09-18 07:21:00,77.1 req/s,72.8 req/s,4.33 req/s
2025-09-18 07:22:00,43.1 req/s,37.5 req/s,5.57 req/s
2025-09-18 07:23:00,56.1 req/s,52.5 req/s,3.61 req/s
2025-09-18 07:24:00,29.1 req/s,24.7 req/s,4.45 req/s
2025-09-18 07:25:00,55.5 req/s,47.6 req/s,7.88 req/s
2025-09-18 07:26:00,46.3 req/s,36.3 req/s,10.0 req/s
2025-09-18 07:27:00,59.3 req/s,54.2 req/s,5.07 req/s
2025-09-18 07:28:00,48.6 req/s,44.6 req/s,3.98 req/s
2025-09-18 07:29:00,55.5 req/s,48.6 req/s,6.83 req/s
2025-09-18 07:30:00,43.4 req/s,38.1 req/s,5.31 req/s
2025-09-18 07:31:00,67.2 req/s,62.8 req/s,4.38 req/s
2025-09-18 07:32:00,32.0 req/s,23.6 req/s,8.42 req/s
